pipeline_mode,hit_rate@5,precision@5,recall@5,mrr@5,ndcg@5,budget_sat,distance_sat,cuisine_sat,latency_ms
hybrid,1.0,0.4133333333333333,0.8944444444444445,1.0,0.9058044058265913,0.9600000000000001,1.0,0.7466666666666667,18.71782000331829
bge,0.9666666666666667,0.3533333333333333,0.8005555555555554,0.9111111111111112,0.7993452272884487,0.7866666666666667,0.9866666666666667,0.23333333333333334,109.54333997797221
bge+cross_encoder,1.0,0.42666666666666664,0.925,0.9333333333333333,0.9010874728250503,0.8200000000000001,0.9933333333333334,0.23333333333333334,9871.01797000505
bge+cross_encoder+business_rerank,1.0,0.41999999999999993,0.9011111111111111,1.0,0.9124131267765722,0.9666666666666667,1.0,0.7533333333333334,10339.205743341396
