case_id,hit_rate@5,precision@5,recall@5,mrr@5,ndcg@5,budget_extract_acc,cuisine_extract_acc,scene_extract_acc,distance_extract_acc,avoid_spicy_extract_acc,vegetarian_extract_acc,budget_sat,distance_sat,cuisine_sat,latency_ms,retriever_mode,recommended
16,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,14.563900000000185,hybrid,蔡澜点心·粤菜(龙岗大运天地店)|悦得闲广式点心茶楼(天光店)|南粤春·奥林宾馆·早茶粤菜·海鲜火锅|Thy yeah·泰嘢西泰料理(大运天地店)|吴庄(龙岗COCO Park店)
17,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.011899999999855,hybrid,巡味顺德菜(大运店)|南粤春·奥林宾馆·早茶粤菜·海鲜火锅|悦得闲广式点心茶楼(天光店)|蔡澜点心·粤菜(龙岗大运天地店)|浙澜小馆·东海小海鲜(大运旗舰店)
18,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,13.944599999999863,hybrid,吴庄(龙岗COCO Park店)|吴庄(龙岗大运天地店)|绿茶餐厅(龙岗星河COCO park店)|木屋烧烤(大运店)|Thy yeah·泰嘢西泰料理(大运天地店)
19,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.572900000000221,hybrid,怂重庆火锅厂(龙岗大运天地店)|MUJINY木槿钰·创意韩餐(大运天地店)|八合里潮汕鲜牛肉火锅(龙岗星河CoCo Park店)|潮发潮汕牛肉店(大运天地店)|费大厨辣椒炒肉(大运天地店)
20,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,11.3711000000003,hybrid,安又胖韩国烤肉(大运天地店)|MUJINY木槿钰·创意韩餐(大运天地店)|西塔老太太泥炉烤肉(龙岗星河COCOPARK店)|鑫运齐齐哈尔烤肉(大运店)|皖厨·中国徽菜(龙岗大运天地店)
21,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,10.884500000000408,hybrid,Thy yeah·泰嘢西泰料理(大运天地店)|绿茶餐厅(龙岗星河COCO park店)|文通冰室(大运天地店)|八合里潮汕鲜牛肉火锅(龙岗星河CoCo Park店)|客家本色·客家菜(龙岗星河COCO Park店)
22,1.0,0.4,0.6666666666666666,1.0,0.6508205185601091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.922600000000116,hybrid,脆鲜生·脆鲩鱼火锅(大运天地店)|巡味顺德菜(大运店)|八合里潮汕鲜牛肉火锅(龙岗星河CoCo Park店)|潮发潮汕牛肉店(大运天地店)|南粤春·奥林宾馆·早茶粤菜·海鲜火锅
23,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,11.346599999999984,hybrid,黔山QIANSHAAN·贵州菜(大运天地店)|MUJINY木槿钰·创意韩餐(大运天地店)|文通冰室(大运天地店)|Potato Corner(深圳大运天地店)|怂重庆火锅厂(龙岗大运天地店)
24,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,10.016400000000036,hybrid,PINTXOS品巧思西班牙小馆(大运天地店)|原石牛扒·欢聚·氛围感(大运天地店)|浙澜小馆·东海小海鲜(大运旗舰店)|安又胖韩国烤肉(大运天地店)|费大厨辣椒炒肉(大运天地店)
25,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.933800000000215,hybrid,很久以前羊肉串(大运天地店)|木屋烧烤(大运店)|鑫运齐齐哈尔烤肉(大运店)|吴庄(龙岗大运天地店)|清潮·潮菜(龙岗大运天地店)
26,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.548100000000172,hybrid,同仁四季椰子鸡(龙岗大运天地店)|潮发潮汕牛肉店(大运天地店)|芸山季·云南山珍菌火锅(龙岗星河COCO Park店)|中海凯骊酒店-骊轩中餐厅|八合里潮汕鲜牛肉火锅(龙岗星河CoCo Park店)
27,1.0,0.6,1.0,1.0,0.9674679834891693,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,9.673799999999844,hybrid,GE BAKE·SHORE(大运天地店)|深圳市龙岗区湖畔咖啡|星巴克(深圳香港中文大学店)|blend(大运天地店)|文通冰室(大运天地店)
28,1.0,0.2,0.5,1.0,0.6131471927654584,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.572700000000104,hybrid,中海凯骊酒店-骊轩中餐厅|怂重庆火锅厂(龙岗大运天地店)|费大厨辣椒炒肉(大运天地店)|巡味顺德菜(大运店)|南粤春·奥林宾馆·早茶粤菜·海鲜火锅
29,1.0,0.4,1.0,1.0,0.9197207891481876,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10.093599999999814,hybrid,萨莉亚意式餐厅(爱联站天光城店)|文通冰室(大运天地店)|Potato Corner(深圳大运天地店)|深圳信息职业技术大学-B饭堂|星巴克(深圳香港中文大学店)
30,1.0,0.6,1.0,1.0,0.9469024295259745,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.309999999999931,hybrid,木屋烧烤(大运店)|很久以前羊肉串(大运天地店)|清潮·潮菜(龙岗大运天地店)|吴庄(龙岗大运天地店)|鑫运齐齐哈尔烤肉(大运店)
