pipeline_mode,hit_rate@5,precision@5,recall@5,mrr@5,ndcg@5,budget_sat,distance_sat,cuisine_sat,latency_ms
hybrid,1.0,0.4133333333333333,0.8944444444444445,1.0,0.9058044058265913,0.9600000000000001,1.0,0.7466666666666667,16.916806666666684
bge,1.0,0.4000000000000001,0.8805555555555556,0.9666666666666667,0.878096962152329,0.8133333333333334,0.9933333333333334,0.23333333333333334,11.500963333333361
bge+cross_encoder,1.0,0.4000000000000001,0.8805555555555556,0.9666666666666667,0.878096962152329,0.8133333333333334,0.9933333333333334,0.23333333333333334,12.169659999999935
bge+cross_encoder+business_rerank,1.0,0.41999999999999993,0.9011111111111111,0.9666666666666667,0.8982277956417565,0.9666666666666667,1.0,0.7533333333333334,17.29733333333332
